1,date_ymd,time_h:m:s,feeding_time,group_size,group,access_focal,location_focal,condition,cl_distance,cl_height,cp_distance,cp_height,du_distance,du_height,fg_distance,fg_height,fy_distance,fy_height,iz_distance,iz_height,ma_distance,ma_height,me_distance,me_height,pa_distance,pa_height,pe_distance,pe_height,po_distance,po_height,pp_distance,pp_height,rk_distance,rk_height,tr_distance,tr_height,observer_id
1,06/12/2016, 17:48:05,0,2,4,satellite,satellite,satellite, ,,3,med,,,,,,,focal,med,,,,,,,,,,,,,,,,,916
1,06/13/2016, 05:58:02,0,3,1,multiple,satellite,sbc, ,,,,,,5,med,focal,med,,,,,,,7,med,,,,,,,,,,,1231
1,06/13/2016, 06:08:02,0,3,1,multiple,satellite,sbc, ,,,,,,focal,med,7,ground,,,,,,,15,low,,,,,,,,,,,1231
1,06/13/2016, 06:18:02,0,3,1,multiple,center,cbc, ,,,,,,5,med,5,low,,,,,,,focal,med,,,,,,,,,,,1231
1,06/13/2016, 06:28:02,0,3,1,multiple,satellite,sbc, ,,,,,,0,med,focal,med,,,,,,,separate_enclosure,med,,,,,,,,,,,1231
1,06/13/2016, 06:38:02,1,3,1,multiple,satellite,sbc, ,,,,,,focal,med,1,med,,,,,,,separate_enclosure,med,,,,,,,,,,,1231
1,06/13/2016, 06:48:02,1,3,1,multiple,center,cbc, ,,,,,,10,low,10,low,,,,,,,focal,med,,,,,,,,,,,1231
1,06/13/2016, 06:58:02,1,3,1,multiple,satellite,sbc, ,,,,,,0,low,focal,low,,,,,,,14,med,,,,,,,,,,,1231
1,06/13/2016, 07:08:02,2,3,1,multiple,satellite,sbc, ,,,,,,focal,low,3,low,,,,,,,separate_enclosure,med,,,,,,,,,,,1231
1,06/13/2016, 07:18:02,2,3,1,center,center,center, ,,,,,,1,med,1,med,,,,,,,focal,med,,,,,,,,,,,1231
1,06/13/2016, 07:28:02,2,3,1,multiple,satellite,sbc, ,,,,,,focal,low,13,low,,,,,,,separate_enclosure,med,,,,,,,,,,,1231
1,06/13/2016, 07:38:02,0,3,1,multiple,satellite,sbc, ,,,,,,1,low,focal,low,,,,,,,12,med,,,,,,,,,,,1231
1,06/13/2016, 07:48:02,0,3,1,multiple,center,cbc, ,,,,,,separate_enclosure,med,separate_enclosure,low,,,,,,,focal,med,,,,,,,,,,,1231
1,06/13/2016, 07:58:02,0,3,1,multiple,satellite,sbc, ,,,,,,2,ground,focal,ground,,,,,,,2,low,,,,,,,,,,,1231
1,06/13/2016, 08:59:44,0,4,3,satellite,satellite,satellite, ,,,,,,,,,,,,,,,,,,,,4,ground,8,med,5,med,focal,ground,916
1,06/13/2016, 09:09:44,0,4,3,satellite,satellite,satellite, ,,,,,,,,,,,,,,,,,,,,7,ground,focal,med,9,med,5,ground,916
1,06/13/2016, 09:19:44,0,4,3,satellite,satellite,satellite, ,,,,,,,,,,,,,,,,,,,,6,ground,8,med,focal,med,4,low,916
1,06/13/2016, 09:29:44,0,4,3,satellite,satellite,satellite, ,,,,,,,,,,,,,,,,,,,,focal,ground,7,med,10,low,4,low,916
1,06/13/2016, 09:39:44,0,4,3,satellite,satellite,satellite, ,,,,,,,,,,,,,,,,,,,,5,ground,4,med,8,low,focal,low,916
1,06/13/2016, 09:49:44,0,4,3,satellite,satellite,satellite, ,,,,,,,,,,,,,,,,,,,,12,ground,5,med,focal,low,9,low,916
1,06/13/2016, 09:59:44,0,4,3,satellite,satellite,satellite, ,,,,,,,,,,,,,,,,,,,,focal,ground,7,med,10,low,5,med,916
1,06/13/2016, 10:09:44,1,4,3,satellite,satellite,satellite, ,,,,,,,,,,,,,,,,,,,,3,low,6,med,5,med,focal,med,916
1,06/13/2016, 10:19:44,1,4,3,satellite,satellite,satellite, ,,,,,,,,,,,,,,,,,,,,8,low,focal,med,3,med,6,med,916
1,06/13/2016, 10:29:44,1,4,3,satellite,satellite,satellite, ,,,,,,,,,,,,,,,,,,,,focal,ground,8,low,5,med,4,ground,916
1,06/13/2016, 10:39:44,2,4,3,satellite,satellite,satellite, ,,,,,,,,,,,,,,,,,,,,11,ground,8,med,focal,low,13,med,916
1,06/13/2016, 10:49:44,2,4,3,satellite,satellite,satellite, ,,,,,,,,,,,,,,,,,,,,focal,ground,7,med,11,med,4,med,916
1,06/13/2016, 14:03:30,1,2,4,satellite,satellite,satellite, ,,focal,low,,,,,,,3,low,,,,,,,,,,,,,,,,,1231
1,06/13/2016, 14:13:30,1,2,4,satellite,satellite,satellite, ,,11,low,,,,,,,focal,med,,,,,,,,,,,,,,,,,1231
1,06/13/2016, 14:23:30,1,2,4,satellite,satellite,satellite, ,,focal,unknown,,,,,,,6,med,,,,,,,,,,,,,,,,,1231
1,06/13/2016, 14:33:30,2,2,4,satellite,satellite,satellite, ,,11,low,,,,,,,focal,med,,,,,,,,,,,,,,,,,1231
1,06/13/2016, 14:43:30,2,2,4,satellite,satellite,satellite, ,,focal,unknown,,,,,,,2,low,,,,,,,,,,,,,,,,,1231
1,06/13/2016, 14:53:30,2,2,4,satellite,satellite,satellite, ,,10,med,,,,,,,focal,low,,,,,,,,,,,,,,,,,1231
1,06/13/2016, 15:03:30,0,2,4,satellite,satellite,satellite, ,,focal,med,,,,,,,5,med,,,,,,,,,,,,,,,,,1231
1,06/13/2016, 15:13:30,0,2,4,satellite,satellite,satellite, ,,5,med,,,,,,,focal,med,,,,,,,,,,,,,,,,,1231
1,06/13/2016, 15:23:30,0,2,4,satellite,satellite,satellite, ,,focal,med,,,,,,,4,med,,,,,,,,,,,,,,,,,1231
1,06/13/2016, 15:33:30,0,2,4,satellite,satellite,satellite, ,,10,low,,,,,,,focal,med,,,,,,,,,,,,,,,,,1231
1,06/13/2016, 15:43:30,0,2,4,satellite,satellite,satellite, ,,focal,med,,,,,,,7,low,,,,,,,,,,,,,,,,,1231
1,06/13/2016, 15:53:30,0,2,4,satellite,satellite,satellite, ,,6,low,,,,,,,focal,med,,,,,,,,,,,,,,,,,1231
1,06/13/2016, 15:57:52,0,5,2,satellite,satellite,satellite,6,ground,,,focal,med,,,,,,,10,med,4,med,,,9,med,,,,,,,,,916
1,06/13/2016, 16:07:52,1,5,2,satellite,satellite,satellite,3,med,,,2,med,,,,,,,11,med,focal,med,,,0,med,,,,,,,,,916
1,06/13/2016, 16:17:52,1,5,2,satellite,satellite,satellite,3,med,,,5,low,,,,,,,9,med,3,med,,,focal,med,,,,,,,,,916
1,06/13/2016, 16:27:52,1,5,2,satellite,satellite,satellite,focal,low,,,3,low,,,,,,,5,med,6,low,,,2,low,,,,,,,,,916
1,06/13/2016, 16:37:52,2,5,2,satellite,satellite,satellite,5,low,,,7,ground,,,,,,,focal,med,5,low,,,5,low,,,,,,,,,916
1,06/13/2016, 16:47:52,2,5,2,satellite,satellite,satellite,4,med,,,focal,med,,,,,,,8,ground,7,low,,,4,med,,,,,,,,,916
1,06/13/2016, 16:57:52,2,5,2,satellite,satellite,satellite,4,low,,,4,med,,,,,,,12,med,focal,med,,,14,med,,,,,,,,,916
1,06/13/2016, 17:07:52,0,5,2,satellite,satellite,satellite,3,ground,,,4,med,,,,,,,5,ground,7,med,,,focal,ground,,,,,,,,,916
1,06/13/2016, 17:17:52,0,5,2,satellite,satellite,satellite,focal,med,,,7,low,,,,,,,3,med,6,med,,,8,med,,,,,,,,,916
1,06/13/2016, 17:27:52,0,5,2,satellite,satellite,satellite,4,med,,,5,med,,,,,,,focal,ground,5,med,,,2,low,,,,,,,,,916
1,06/13/2016, 17:37:52,0,5,2,satellite,satellite,satellite,5,med,,,focal,ground,,,,,,,1,ground,2,ground,,,3,med,,,,,,,,,916
1,06/13/2016, 17:47:52,0,5,2,satellite,satellite,satellite,2,low,,,5,med,,,,,,,8,med,focal,low,,,3,low,,,,,,,,,916
1,06/14/2016, 05:52:52,0,5,2,satellite,satellite,satellite,focal,med,,,3,ground,,,,,,,8,med,3,med,,,10,med,,,,,,,,,916
1,06/14/2016, 06:02:52,0,5,2,satellite,satellite,satellite,6,med,,,focal,ground,,,,,,,10,med,4,low,,,10,med,,,,,,,,,916
1,06/14/2016, 06:12:52,0,5,2,satellite,satellite,satellite,2,med,,,8,low,,,,,,,focal,med,7,low,,,8,med,,,,,,,,,916
1,06/14/2016, 06:22:52,0,5,2,satellite,satellite,satellite,4,med,,,4,low,,,,,,,7,med,focal,med,,,6,low,,,,,,,,,916
1,06/14/2016, 06:32:52,1,5,2,multiple,center,cbc,8,low,,,12,low,,,,,,,5,top,separate_enclosure,low,,,focal,top,,,,,,,,,916
1,06/14/2016, 06:42:52,1,5,2,multiple,center,cbc,focal,med,,,separate_enclosure,low,,,,,,,5,low,separate_enclosure,low,,,7,high,,,,,,,,,916
1,06/14/2016, 06:52:52,1,5,2,multiple,satellite,sbc,9,low,,,6,ground,,,,,,,separate_enclosure,top,focal,med,,,separate_enclosure,high,,,,,,,,,916
1,06/14/2016, 07:02:52,2,5,2,multiple,satellite,sbc,4,low,,,6,low,,,,,,,separate_enclosure,med,5,low,,,focal,med,,,,,,,,,916
1,06/14/2016, 07:12:52,2,5,2,multiple,center,cbc,focal,med,,,separate_enclosure,low,,,,,,,10,med,12,low,,,6,med,,,,,,,,,916
1,06/14/2016, 07:22:52,2,5,2,center,center,center,8,med,,,focal,low,,,,,,,3,med,12,low,,,8,med,,,,,,,,,916
1,06/14/2016, 07:32:52,0,5,2,center,center,center,6,low,,,2,med,,,,,,,10,high,9,med,,,focal,med,,,,,,,,,916
1,06/14/2016, 07:42:52,0,5,2,center,center,center,focal,low,,,3,low,,,,,,,2,low,8,med,,,9,med,,,,,,,,,916
1,06/14/2016, 07:52:52,0,5,2,center,center,center,8,med,,,7,low,,,,,,,focal,low,5,med,,,9,med,,,,,,,,,916
1,06/14/2016, 09:00:03,0,2,4,satellite,satellite,satellite, ,,focal,med,,,,,,,4,low,,,,,,,,,,,,,,,,,1231
1,06/14/2016, 09:10:03,0,2,4,satellite,satellite,satellite, ,,9,low,,,,,,,focal,low,,,,,,,,,,,,,,,,,1231
