record,observer_id,date,time,time_meal,enclosure_access,location,focal_id,actor_id,receiver_id,duration_sec,occurrences,behavior,condition,activity,behavior_modifier,,,,
662,916,06/10/2016,10:00:55,none,both_enclosures,center,PO,PO,,6.701,1,feed,cbc,forage,,,,,
664,916,06/10/2016,10:01:01,none,both_enclosures,center,PO,PO,,14.562,1,movement,cbc,movement,,,,,
666,916,06/10/2016,10:01:16,none,both_enclosures,center,PO,PO,,4.173,1,inactive,cbc,inactive,,,,,
668,916,06/10/2016,10:01:20,none,both_enclosures,center,PO,PO,PO,4.773,1,sdb_scratching,cbc,self_directed,,,,,
670,916,06/10/2016,10:01:25,none,both_enclosures,center,PO,PO,,10.988,1,movement,cbc,movement,,,,,
672,916,06/10/2016,10:01:36,none,both_enclosures,center,PO,PO,,112.515,1,inactive,cbc,inactive,,,,,
674,916,06/10/2016,10:03:28,none,both_enclosures,center,PO,PO,,4.279,1,feed,cbc,forage,,,,,
676,916,06/10/2016,10:03:33,none,both_enclosures,center,PO,PO,,76.579,1,inactive,cbc,inactive,,,,,
678,916,06/10/2016,10:04:49,none,both_enclosures,center,PO,PO,,6.72,1,feed,cbc,forage,,,,,
680,916,06/10/2016,10:04:56,none,both_enclosures,center,PO,PO,,24.738,1,movement,cbc,movement,,,,,
683,916,06/10/2016,10:05:21,none,both_enclosures,satellite,PO,PO,,15.37,1,stb_swinging,sbc,abnormal,,,,,
685,916,06/10/2016,10:05:36,none,both_enclosures,satellite,PO,PO,PO,18.409,1,sdb_yawn,sbc,other,,,,,
687,916,06/10/2016,10:05:54,none,both_enclosures,satellite,PO,PO,PO,11.455,1,sdb_scratching,sbc,self_directed,,,,,
689,916,06/10/2016,10:06:06,none,both_enclosures,satellite,PO,PO,PO,7.203,1,sdb_yawn,sbc,other,,,,,
691,916,06/10/2016,10:06:13,none,both_enclosures,satellite,PO,PO,,11.825,1,inactive,sbc,inactive,,,,,
693,916,06/10/2016,10:06:25,none,both_enclosures,satellite,PO,PO,PO,12.649,1,sdb_scratching,sbc,self_directed,,,,,
695,916,06/10/2016,10:06:38,none,both_enclosures,satellite,PO,PO,,42.242,1,inactive,sbc,inactive,,,,,
697,916,06/10/2016,10:07:20,before,both_enclosures,satellite,PO,PO,,38.192,1,feed,sbc,forage,,,,,
702,916,06/10/2016,10:08:44,before,both_enclosures,center,TR,TR,,630.867,1,inactive,cbc,inactive,,,,,
703,916,06/10/2016,10:11:55,before,both_enclosures,center,TR,TR,,0,1,v_whinny,cbc,vocalization,,,,,
705,916,06/10/2016,10:19:15,before,both_enclosures,center,TR,TR,TR,8.608,1,sdb_scratching,cbc,self_directed,,,,,
707,916,06/10/2016,10:19:24,before,both_enclosures,center,TR,TR,,10.501,1,inactive,cbc,inactive,,,,,
709,916,06/10/2016,10:19:34,before,both_enclosures,center,TR,TR,TR,4.392,1,sdb_scratching,cbc,self_directed,,,,,
711,916,06/10/2016,10:19:39,before,both_enclosures,center,TR,TR,,4.001,1,inactive,cbc,inactive,,,,,
713,916,06/10/2016,10:19:43,before,both_enclosures,center,TR,TR,TR,3.465,1,sdb_scratching,cbc,self_directed,,,,,
715,916,06/10/2016,10:19:46,before,both_enclosures,center,TR,TR,,163.883,1,inactive,cbc,inactive,,,,,
716,916,06/10/2016,10:22:05,before,both_enclosures,center,TR,TR,,388.871,1,feed,cbc,forage,,,,,
719,916,06/10/2016,10:22:30,before,both_enclosures,center,TR,TR,TR,164.555,1,sdb_scratching,cbc,self_directed,,,,,
